rows,layers,candidate,control_us,candidate_us,ratio,ratio_min,ratio_max,noise_floor,decision
1,1,0,582.0,612.0,1.653089103758287,0.34304018637157835,2.9148580968280466,1.9148580968280466,calibration
1,1,7,331.25,560.75,1.8786508025592097,1.3680904522613064,1.9916782246879334,1.9148580968280466,inconclusive
1,24,0,197.875,198.84375,1.0005277195920612,0.8395125300377618,1.009157894736842,0.16048746996223817,calibration
1,24,7,197.84375,441.8541666666667,2.227671659256016,1.929005722460658,2.2385466034755135,0.16048746996223817,slower
7,1,0,1052.0,1050.75,0.9997954333461798,0.7051965356429047,1.0056764427625355,0.29480346435709526,calibration
7,1,7,1035.0,568.25,0.5408081387085082,0.5289485873089393,0.5557720409157331,0.29480346435709526,faster
7,24,0,930.53125,930.6666666666667,0.9999441590350684,0.9993715632364494,1.0004039406656045,0.05,calibration
7,24,7,928.6041666666667,450.2291666666667,0.4848451517554131,0.4832207232485577,0.5192177131468868,0.05,faster
15,1,0,2144.75,2118.0,0.9715042969523289,0.9273986152324432,1.0088011417697431,0.07260138476755684,calibration
15,1,7,2114.5,675.0,0.3058001141273335,0.25976430976430975,0.3323084200567644,0.07260138476755684,faster
15,24,0,1945.7083333333333,1975.9166666666665,1.0005771529816632,0.9971442323118883,1.050293162402324,0.050293162402323954,calibration
15,24,7,1950.1666666666667,521.4583333333334,0.2661968946391098,0.2646474571202768,0.2686307195828258,0.050293162402323954,faster
16,1,0,2226.5,2192.75,1.0014871309591522,0.9365791159513133,1.0066239788032678,0.06342088404868673,calibration
16,1,7,2223.25,640.75,0.28703422979734083,0.28533273981749385,0.29113636363636364,0.06342088404868673,faster
16,24,0,2076.364583333333,2076.239583333333,1.0003861339557403,0.9991764587727229,1.0054660249040281,0.05,calibration
16,24,7,2078.28125,527.5729166666667,0.25389972896017826,0.251106450026595,0.25630223484885345,0.05,faster
17,1,0,2417.5,2392.25,0.9890968850883461,0.9514563106796117,0.9976694915254237,0.05,calibration
17,1,7,2383.0,732.5,0.30430235886775525,0.2703244622675902,0.31350785340314136,0.05,faster
17,24,0,2206.125,2205.010416666667,0.9994954514172568,0.997571219868517,1.0019704620165026,0.05,calibration
17,24,7,2205.041666666667,622.5416666666666,0.28065619963329647,0.2782312986532685,0.2829524321977098,0.05,faster
33,1,0,4441.0,4442.0,1.000226442171006,0.9872690401081569,1.0047169811320755,0.05,calibration
33,1,7,4445.0,877.75,0.19698945885958502,0.19408377554476686,0.1991482685195562,0.05,faster
33,24,0,4283.1875,4282.927083333334,1.000082719651851,0.999727711218298,1.0080157304005044,0.05,calibration
33,24,7,4281.645833333334,761.1145833333334,0.17724211566290712,0.17669647085300616,0.17827402377570672,0.05,faster
65,1,0,8701.75,8701.25,0.9997419297569681,0.9956541118787609,1.0007472123232555,0.05,calibration
65,1,7,8704.5,1270.75,0.1458687300181425,0.1417772551654628,0.14681535985283972,0.05,faster
65,24,0,8848.697916666666,8805.958333333334,0.9973761889646656,0.9921736875604067,0.9992718494047736,0.05,calibration
65,24,7,8775.135416666666,1146.2604166666667,0.1329387565161907,0.12936664150446456,0.13445647127812937,0.05,faster
257,1,0,35307.25,35058.5,0.996911462314165,0.9921625667240941,1.0017474031647413,0.05,calibration
257,1,7,35461.5,3762.0,0.10545232410243566,0.10525374284456186,0.10773504395887626,0.05,faster
257,24,0,35648.73958333333,35109.72916666667,0.9957349154675845,0.9670889383006336,1.003231334346274,0.05,calibration
257,24,7,35144.635416666664,3625.364583333333,0.10312827066963216,0.10058185761767094,0.1038748366771421,0.05,faster
1024,1,0,146034.25,146757.25,1.0087577745609577,0.9920638469873923,1.0249288732070463,0.05,calibration
1024,1,7,146205.5,13703.5,0.09352734942575369,0.09013557407145883,0.09405436051809205,0.05,faster
1024,24,0,151517.0416666667,149943.71875,0.9898016462083543,0.9703513800389557,1.0058446133984895,0.05,calibration
1024,24,7,150469.97916666666,13552.5625,0.09106293934442941,0.08915489987462434,0.09135767676406424,0.05,faster
4096,1,0,610560.5,611946.75,0.9993749064785653,0.99545659203471,1.010615901944556,0.05,calibration
4096,1,7,603572.0,54629.75,0.0889224525909928,0.08766284646512697,0.09948782152479714,0.05,faster
4096,24,0,618376.96875,599849.0104166667,0.9764403919190456,0.9573234753303993,0.9886179177885132,0.05,calibration
4096,24,7,602550.5625,52967.30208333333,0.08794137144433506,0.08668330837395714,0.08902474105452664,0.05,faster
