rows,layers,candidate,control_us,candidate_us,ratio,ratio_min,ratio_max,noise_floor,decision
1,1,0,405.0,365.25,0.8151155778894472,0.47119815668202764,2.9346733668341707,1.9346733668341707,calibration
1,24,0,199.95833333333334,205.26041666666666,1.0282437561341704,0.9962767607818802,1.0572058360449248,0.057205836044924796,calibration
7,1,0,1111.0,1059.75,0.9523707029088002,0.7838137472283814,1.007554296506138,0.21618625277161863,calibration
7,24,0,992.3125,986.1145833333333,0.9984036502783474,0.9806417503761843,1.007746723374707,0.05,calibration
15,1,0,2127.25,2151.25,0.9970898715773019,0.984590616375345,1.1097383720930232,0.10973837209302317,calibration
15,24,0,2108.0625,2109.59375,1.0001732342565917,0.9980251710628848,1.0016746274905326,0.05,calibration
16,1,0,2310.5,2308.25,0.9940757029147871,0.985226019845645,1.0078209863132739,0.05,calibration
16,24,0,2241.9895833333335,2240.3333333333335,0.9985664739339848,0.9964709140779259,1.0010132885556295,0.05,calibration
17,1,0,2420.75,2432.5,1.0167464793561272,0.9715553762356264,1.0234162659418775,0.05,calibration
17,24,0,2395.208333333333,2390.40625,0.9988939567882225,0.996557533809936,0.9998394681674821,0.05,calibration
33,1,0,4535.75,4553.5,1.0103966145769965,0.9956639566395664,1.0142425550280536,0.05,calibration
33,24,0,4643.6875,4639.197916666667,0.9997454047791616,0.9971029191493759,1.0007988970067132,0.05,calibration
65,1,0,9283.75,9507.5,0.9996893477870727,0.9976473288575199,1.049195640892579,0.05,calibration
65,24,0,9172.010416666668,9298.083333333332,0.9988583013898759,0.9953113700369014,1.0337007166339487,0.05,calibration
257,1,0,37927.75,37704.75,0.9984573054775996,0.9869633189916922,1.0049046321525885,0.05,calibration
257,24,0,36595.583333333336,37274.28125,1.0187508306241346,0.9983776593699781,1.0481581714691341,0.05,calibration
1024,1,0,153533.75,153223.75,1.0037017121495513,0.9958049326187627,1.0486065703528828,0.05,calibration
1024,24,0,152741.0,154371.2291666667,1.0170759779056853,0.9436908827941185,1.062652291460181,0.06265229146018103,calibration
4096,1,0,625306.25,628976.75,0.9999520888296023,0.9875954572231059,1.0427396962799367,0.05,calibration
4096,24,0,615791.03125,617858.4583333334,1.0004510901937318,0.9750062967141275,1.0154828962701443,0.05,calibration
