rows,layers,candidate,control_us,candidate_us,ratio,ratio_min,ratio_max,noise_floor,decision
1,1,0,278.5,416.5,1.570480823463057,1.0319001386962552,3.637602179836512,2.637602179836512,calibration
1,1,1,423.5,439.0,1.1164669762249118,0.9009287925696594,1.2298050139275767,2.637602179836512,inconclusive
1,1,2,488.25,500.5,1.093304552590267,0.8211818879508825,1.4028169014084506,2.637602179836512,inconclusive
1,1,3,355.5,456.0,1.3801860273739557,1.2527472527472527,2.2531969309462916,2.637602179836512,inconclusive
1,24,0,58.58333333333333,58.64583333333333,0.9996443790196268,0.9992895204262878,1.0028479886080457,0.05,calibration
1,24,1,58.729166666666664,72.47916666666666,1.2346576466383785,1.2312056737588652,1.2429439085387637,0.05,slower
1,24,2,58.802083333333336,85.69791666666667,1.4582818678215026,1.4420238931834153,1.4614564831261103,0.05,slower
1,24,3,58.72916666666667,90.875,1.5497518494477545,1.5437477860432165,1.552482269503546,0.05,slower
16,1,0,940.25,909.5,0.9733585858585858,0.9297241020301926,0.9989310529128808,0.07027589796980738,calibration
16,1,1,937.25,493.5,0.5340858570603049,0.2646013204672423,0.7949407965554359,0.07027589796980738,faster
16,1,2,937.5,246.25,0.24950131041450097,0.22099447513812154,0.589041095890411,0.07027589796980738,faster
16,1,3,941.0,251.75,0.26537768519666105,0.24646781789638933,0.7493232268543584,0.07027589796980738,faster
16,24,0,727.875,726.5,0.9998284942640551,0.995846105365686,1.003698722259583,0.05,calibration
16,24,1,728.4166666666667,122.6875,0.1685508076323476,0.1637018626602251,0.1687305173449252,0.05,faster
16,24,2,728.6666666666666,94.27083333333333,0.12908833855845453,0.12592285358772293,0.130042264454731,0.05,faster
16,24,3,727.8229166666667,107.28125,0.14737183241760732,0.1439317673378076,0.14796944109368718,0.05,faster
17,1,0,966.25,955.75,0.9935052969985521,0.9729448491155047,1.006690684508492,0.05,calibration
17,1,1,974.25,679.0,0.6199061233198208,0.3034993270524899,1.000517330574237,0.05,inconclusive
17,1,2,966.75,587.75,0.6029886384917911,0.29788332472896234,0.9081473793461339,0.05,faster
17,1,3,968.5,626.5,0.6193641306597943,0.3039832285115304,0.9315491507977355,0.05,faster
17,24,0,771.59375,771.6875,1.0004325052142355,0.9986770343971058,1.0083673200894618,0.05,calibration
17,24,1,773.25,165.96875,0.2138414188583472,0.2095689996045868,0.21561107359891965,0.05,faster
17,24,2,771.8125,159.79166666666666,0.20684578344614463,0.20182377210732402,0.2079119571683522,0.05,faster
17,24,3,772.03125,157.55208333333331,0.20319282627373608,0.20265081786146322,0.20468294263800363,0.05,faster
1024,1,0,52288.75,52278.5,0.9997609347937606,0.9928788200241677,0.999827873085088,0.05,calibration
1024,1,1,52282.25,6043.25,0.11510119856801126,0.11366636301102456,0.11579551432260533,0.05,faster
1024,1,2,52289.5,4243.25,0.08106310351030002,0.07855657582393316,0.08117053944687323,0.05,faster
1024,1,3,52281.5,4968.25,0.09500126633022034,0.0930401159980667,0.09504499765687015,0.05,faster
1024,24,0,52100.84375,52101.83333333333,1.0000189939137862,0.9998795463972947,1.000113577738763,0.05,calibration
1024,24,1,52124.947916666664,5843.708333333333,0.112155540033029,0.11205960489782874,0.11310362182775509,0.05,faster
1024,24,2,52101.17708333333,4041.447916666667,0.07756930237783133,0.07755590361262714,0.07758254606641113,0.05,faster
1024,24,3,52098.83333333333,4774.03125,0.09164581727398088,0.09162607042511481,0.09167372450572445,0.05,faster
