rows,layers,candidate,control_us,candidate_us,ratio,ratio_min,ratio_max,noise_floor,decision
1,1,0,863.5,882.5,1.0039817974971559,0.5642688679245284,2.7965299684542586,1.7965299684542586,calibration
1,1,2,569.0,809.5,2.1298402555910543,0.40560224089635855,3.889075630252101,1.7965299684542586,inconclusive
1,24,0,196.72916666666669,196.76041666666669,0.999629556872415,0.9944986506124146,1.0014838367779546,0.05,calibration
1,24,2,197.32291666666669,245.30208333333334,1.243360395275154,1.18221910393906,1.2455229416128006,0.05,slower
16,1,0,2218.0,2206.5,0.9909267546584009,0.9628739899541384,1.0049864007252947,0.05,calibration
16,1,2,2229.25,1000.0,0.4431406056855468,0.39747284415872314,0.47777524504217006,0.05,faster
16,24,0,2078.125,2078.458333333333,0.999744487918432,0.9987465530208071,1.004103843329746,0.05,calibration
16,24,2,2077.15625,817.3125,0.39339579497418276,0.3925830817225227,0.3944564824846515,0.05,faster
17,1,0,2370.75,2382.25,1.0089725531425497,0.98790658882402,1.0103681760473975,0.05,calibration
17,1,2,2385.0,1204.0,0.5054581056010843,0.4875444839857651,0.5107853403141361,0.05,faster
17,24,0,2207.916666666667,2207.0104166666665,0.9995895497365865,0.9993207162669585,1.0001510032276941,0.05,calibration
17,24,2,2207.3958333333335,987.2083333333334,0.4472672112400332,0.44689781366131565,0.44745039551435745,0.05,faster
1024,1,0,143693.0,143700.0,1.0000487155135882,0.9997390814274681,1.0001913968840588,0.05,calibration
1024,1,2,143685.25,47586.5,0.33116956820281707,0.33114094613687456,0.3311991314726341,0.05,faster
1024,24,0,143516.94791666666,143517.17708333334,1.000001596879192,0.999928874148903,1.0000580675075421,0.05,calibration
1024,24,2,143517.8541666667,47420.65625,0.3304182399421649,0.33040795817397706,0.3304547428734672,0.05,faster
