mode,case,family,input_bytes,pieces,max_piece_bytes,output_tokens,candidate,control_us,candidate_us,ratio,ratio_min,ratio_max,noise_floor,decision
encode,1,prose,64,12,10,12,0,5.333,5.09375,0.9889271219340039,0.9138798993167925,1.000097962382445,0.08612010068320752,calibration
encode,1,prose,64,12,10,12,1,5.6145,7.28125,1.2887580094205258,1.277417659425368,1.4148444444444443,0.08612010068320752,slower
encode,2,prose,256,46,10,46,0,16.66675,15.905999999999999,0.9568606136954341,0.9057025509206225,1.0131223465843304,0.09429744907937754,calibration
encode,2,prose,256,46,10,46,1,15.344000000000001,21.375,1.3896721465259594,1.3778998025666338,1.3948073806258572,0.09429744907937754,slower
encode,3,prose,4096,737,10,737,0,180.76024999999998,190.42725000000002,1.0398657608300808,0.9964882515813407,1.119317070607707,0.11931707060770691,calibration
encode,3,prose,4096,737,10,737,1,189.54149999999998,263.33349999999996,1.3800933239377933,1.3602168425277523,1.5877951158989774,0.11931707060770691,slower
encode,4,prose,16384,2946,10,2947,0,707.85425,714.021,1.0029609655054026,0.9923213420618733,1.0254969171655794,0.05,calibration
encode,4,prose,16384,2946,10,2947,1,709.1564999999999,1040.1457500000001,1.4546374526833201,1.4364490642345413,1.4804498861493163,0.05,slower
encode,5,multilingual,63,9,11,18,0,4.39575,4.5835,1.0086791070564656,0.9628265237776289,1.2126376811594202,0.21263768115942017,calibration
encode,5,multilingual,63,9,11,18,1,4.375,5.6355,1.2350475580895008,1.1096,1.3528297119757453,0.21263768115942017,slower
encode,6,multilingual,254,33,11,71,0,11.39575,12.26,1.0009243665092977,0.9960548562840502,1.1582055969624525,0.1582055969624525,calibration
encode,6,multilingual,254,33,11,71,1,12.70825,14.43775,1.1549840532939482,0.9820082987551867,1.1783241723660471,0.1582055969624525,inconclusive
encode,7,multilingual,4096,542,11,1144,0,144.3645,149.948,1.0181566813243472,0.9761414736842107,1.1165092217723798,0.11650922177237977,calibration
encode,7,multilingual,4096,542,11,1144,1,149.79174999999998,170.927,1.1314874540074964,1.0723649977361653,1.1705244988638892,0.11650922177237977,slower
encode,8,multilingual,16383,2169,11,4578,0,572.03125,576.16675,0.9928649892186663,0.9695778072345522,1.0593273153877796,0.05932731538777958,calibration
encode,8,multilingual,16383,2169,11,4578,1,575.63525,669.6769999999999,1.19327429862735,1.109525232017093,1.231042654028436,0.05932731538777958,slower
