query_rows,rows,iterations,dispatches,active_us,enclosing_us,gap_us,gap_share_percent
256,256,25,400,109066.991,109257.0,190.009,0.1739101384808296
64,4096,25,400,74615.043,75077.625,462.582,0.616138296862747
1,4096,100,1600,32475.035,38722.125,6247.09,16.133128024353002
