query_rows,rows,variant,stage,count,median_us,mean_us,active_share_percent
1,4096,20,K projection,100,12.75,12.76083,3.7369915906173
1,4096,20,V projection,100,12.583,12.69966,3.7190780398844665
1,4096,20,Q RoPE,100,6.792,6.85458,2.0073543662295896
1,4096,20,K RoPE,100,5.583,5.60414,1.6411647246019292
1,4096,20,KV append,100,4.292,4.33789,1.2703451461247333
1,4096,20,FP32 GQA,100,62.9375,63.44376,18.57941823511027
1,4096,20,output projection,100,16.833,17.14629,5.021267546098922
1,4096,20,attention residual,100,3.0,3.02747,0.8865904436346348
1,4096,20,MLP RMSNorm,100,6.708,6.73459,1.9722154590457956
1,4096,20,gate projection,100,50.8335,51.66674,15.13053405574798
1,4096,20,up projection,100,51.5,52.42243,15.351836837394126
1,4096,20,SiLU,100,3.9165,3.9608,1.1599148560177512
1,4096,20,multiply,100,3.458,3.4867,1.0210753202577998
1,4096,20,down projection,100,67.8125,68.97626,20.19960328381715
1,4096,20,MLP residual,100,3.084,3.13043,0.9167421386395802
