query_rows,rows,layers,candidate,control_us,candidate_us,ratio,ratio_min,ratio_max,noise_floor,decision
16,16,1,0,820.0,817.5,0.9960337599806661,0.9945454545454545,1.002460024600246,0.05,calibration
16,16,1,23,816.25,2199.0,2.695681665345501,2.675857843137255,2.7648136835675015,0.05,slower
16,16,1,24,815.25,3064.0,3.758991543907796,3.7576875768757687,3.759021406727829,0.05,slower
256,256,1,0,4565.5,4582.0,1.0040528505227786,0.99727579819113,1.0063645341819378,0.05,calibration
256,256,1,23,4575.0,29803.0,6.515784229621502,6.489595816537749,6.530196936542669,0.05,slower
256,256,1,24,4565.25,37083.75,8.11551282983796,8.064141856392295,8.151937644088264,0.05,slower
