query_rows,rows,layers,candidate,control_us,candidate_us,ratio,ratio_min,ratio_max,noise_floor,decision
7,7,1,0,776.75,771.0,0.9945277311620776,0.9764181007010835,0.9967700258397932,0.05,calibration
7,7,24,0,653.90625,659.9479166666667,1.009410547946369,0.9938422472623394,1.0169064403968227,0.05,calibration
15,15,1,0,1008.25,1008.0,0.9997519841269842,0.9954887218045113,1.002962962962963,0.05,calibration
15,15,24,0,886.5416666666667,884.6041666666666,0.99799260089302,0.9884012465730956,1.0030843123866926,0.05,calibration
16,16,1,0,807.75,806.25,0.9990696747693345,0.7326914259513985,1.0143929912390488,0.26730857404860153,calibration
16,16,24,0,696.0104166666667,693.0208333333334,0.9939640163947236,0.9863207689294645,0.9995202974156024,0.05,calibration
17,17,1,0,906.0,907.75,1.0005461095013333,0.996662958843159,1.0049586776859505,0.05,calibration
17,17,24,0,791.2395833333333,792.84375,1.0004457883621585,0.9925526651563681,1.0022667966999657,0.05,calibration
