query_rows,rows,layers,candidate,control_us,candidate_us,ratio,ratio_min,ratio_max,noise_floor,decision
16,16,1,0,817.0,816.75,0.9993910002876456,0.9939098660170523,1.0154225786551512,0.05,calibration
16,16,1,22,814.5,1958.0,2.3891755617315935,1.803644646924829,2.4283942963422196,0.05,slower
256,256,1,0,4569.25,4572.0,1.0016987450392092,0.9928891806148124,1.0042641591952766,0.05,calibration
256,256,1,22,4568.25,26208.75,5.737159720761381,5.7138649503654415,5.770127584689837,0.05,slower
4096,4096,1,0,85586.75,85635.0,1.0006017262158073,0.9995448179271709,1.000707259049701,0.05,calibration
4096,4096,1,22,85664.0,512050.25,5.9789798554987055,5.972599461910626,5.9828438669305175,0.05,slower
1,256,1,0,475.25,475.0,0.9882474445913006,0.8186234817813766,1.0097402597402598,0.18137651821862344,calibration
1,256,1,20,469.25,468.75,0.9811311876529267,0.96,1.0593311758360302,0.18137651821862344,inconclusive
1,4096,1,0,462.0,454.75,0.9907400115503754,0.967948717948718,0.9935064935064936,0.05,calibration
1,4096,1,20,462.5,481.5,1.0432681520239466,1.023454157782516,1.053376906318083,0.05,inconclusive
