query_rows,rows,layers,candidate,control_us,candidate_us,ratio,ratio_min,ratio_max,noise_floor,decision
64,4096,1,3,2088.0,2081.75,0.9948623903288399,0.9904168663152851,1.0011993283761094,0.05,calibration
64,4096,1,20,2081.5,12893.5,6.176306938086761,5.989425618841625,6.210716001922153,0.05,slower
64,4096,24,3,1969.375,1960.84375,1.0009566221216337,0.9883141903628919,1.0810180407051149,0.08101804070511487,calibration
64,4096,24,20,2004.8125,12538.5,6.231947534077314,6.139738939013425,6.488508891928865,0.08101804070511487,slower
