query_rows,rows,layers,candidate,control_us,candidate_us,ratio,ratio_min,ratio_max,noise_floor,decision
16,16,24,0,739.25,752.0729166666667,1.0254061828889447,0.8535041800140636,1.2028519417475727,0.2028519417475727,calibration
16,16,24,23,716.3645833333333,2007.3645833333335,2.8025333599796753,2.4517682429677943,2.9347587719298245,0.2028519417475727,slower
16,16,24,24,690.9895833333333,2864.4375,4.139224933865172,3.5795726317978587,4.202761893174351,0.2028519417475727,slower
256,256,24,0,4395.260416666667,4395.479166666666,1.000007152677344,0.9996587677725116,1.0024754705528074,0.05,calibration
256,256,24,23,4395.010416666666,28827.229166666664,6.563374427679455,6.546620901881878,6.58674189666771,0.05,slower
256,256,24,24,4396.333333333334,39431.375,8.967810302997457,8.95369167606929,8.990616780797572,0.05,slower
16,256,24,0,782.7395833333334,778.59375,1.004894676297841,0.9186075139100891,1.0808374527478917,0.0813924860899109,calibration
16,256,24,23,835.21875,2044.8229166666665,2.4495027783617624,2.395706645175471,2.5776452976862676,0.0813924860899109,slower
16,256,24,24,783.2083333333333,2916.3125,3.7151523238558832,3.6102471678681765,3.759638344109677,0.0813924860899109,slower
