length,position,stage,different,max_abs,p99_abs,relative_rms
17,0,probabilities,0,0.0,0.0,0.0
17,0,weighted_values,0,0.0,0.0,0.0
17,1,scaled_query,0,0.0,0.0,0.0
17,1,scaled_key_transpose,0,0.0,0.0,0.0
17,1,scores,0,0.0,0.0,0.0
17,1,probabilities,0,0.0,0.0,0.0
17,1,weighted_values,0,0.0,0.0,0.0
17,2,scaled_query,0,0.0,0.0,0.0
17,2,scaled_key_transpose,0,0.0,0.0,0.0
17,2,scores,0,0.0,0.0,0.0
17,2,probabilities,15,1.1920928955078125e-07,1.1920928955078125e-07,7.256642607757369e-08
17,2,weighted_values,299,1.4901161193847656e-08,7.450580596923828e-09,8.2800396175592e-08
17,3,scaled_query,0,0.0,0.0,0.0
17,3,scaled_key_transpose,0,0.0,0.0,0.0
17,3,scores,0,0.0,0.0,0.0
17,3,probabilities,2,5.960464477539063e-08,3.501772880554212e-08,2.3829294894871306e-08
17,3,weighted_values,58,3.725290298461914e-09,3.725290298461914e-09,2.249557638281235e-08
17,4,scaled_query,0,0.0,0.0,0.0
17,4,scaled_key_transpose,0,0.0,0.0,0.0
17,4,scores,0,0.0,0.0,0.0
17,4,probabilities,19,5.960464477539063e-08,5.960464477539063e-08,5.0306196358674034e-08
17,4,weighted_values,224,1.4901161193847656e-08,3.725290298461914e-09,4.638597567337893e-08
17,5,scaled_query,0,0.0,0.0,0.0
17,5,scaled_key_transpose,0,0.0,0.0,0.0
17,5,scores,0,0.0,0.0,0.0
17,5,probabilities,35,5.960464477539063e-08,5.960464477539063e-08,6.631586549202205e-08
17,5,weighted_values,338,1.4901161193847656e-08,7.450580596923828e-09,6.823192794507914e-08
17,6,scaled_query,0,0.0,0.0,0.0
17,6,scaled_key_transpose,0,0.0,0.0,0.0
17,6,scores,51,6.103515625e-05,6.103515625e-05,6.825014772085553e-08
17,6,probabilities,93,1.2382864952087402e-05,1.0258108377456668e-05,1.2156772425849558e-05
