length,position,qkv_equal,fp32_max_abs,bf16_max_abs,bf16_flips
17,0,True,0.0,0.0,0
17,1,True,0.0,0.0,0
17,2,True,1.4901161193847656e-08,0.0,0
17,3,True,3.725290298461914e-09,0.0,0
17,4,True,1.4901161193847656e-08,0.0,0
17,5,True,1.4901161193847656e-08,0.0,0
17,6,True,1.1958181858062744e-06,0.000244140625,5
17,7,True,7.562339305877686e-07,9.5367431640625e-07,2
17,8,True,5.811452865600586e-07,7.62939453125e-06,3
17,9,True,7.841736078262329e-07,1.52587890625e-05,7
17,10,True,6.686896085739136e-07,3.0517578125e-05,8
17,11,True,1.4528632164001465e-06,1.52587890625e-05,5
17,12,True,1.8887221813201904e-06,7.62939453125e-06,8
17,13,True,9.778887033462524e-07,3.0517578125e-05,7
17,14,True,1.2773089110851288e-06,1.52587890625e-05,4
17,15,True,1.2516975402832031e-06,4.76837158203125e-07,3
17,16,True,9.052455425262451e-07,6.103515625e-05,1
15,0,True,0.0,0.0,0
15,1,True,9.164214134216309e-07,6.103515625e-05,4
15,2,True,8.791685104370117e-07,1.52587890625e-05,5
15,3,True,1.125037670135498e-06,9.5367431640625e-07,4
15,4,True,1.3113021850585938e-06,0.0001220703125,7
15,5,True,7.655471563339233e-07,1.52587890625e-05,5
15,6,True,9.499490261077881e-07,9.5367431640625e-07,3
15,7,True,7.012858986854553e-07,3.0517578125e-05,5
15,8,True,6.649643182754517e-07,3.814697265625e-06,3
15,9,True,6.854534149169922e-07,3.0517578125e-05,6
15,10,True,8.046627044677734e-07,0.0001220703125,6
15,11,True,6.705522537231445e-07,4.76837158203125e-07,3
15,12,True,4.0605664253234863e-07,3.814697265625e-06,6
15,13,True,9.913928806781769e-07,6.103515625e-05,5
15,14,True,5.792826414108276e-07,7.62939453125e-06,5
