layer,input_difference,observed_output_difference,hf_propagated_difference,identical_input_residual
0,0.0,0.003312719434419706,0.0,0.003312719434419706
1,0.003312719434419706,0.005909286653587433,0.005909286653587433,0.0035653162535859277
2,0.005909286653587433,0.20607835562121768,0.2060746626952513,0.0016461593014778146
3,0.20607835562121768,0.5825711800256116,0.5825713814774475,0.0028752352386978404
