rows,layers,candidate,control_us,candidate_us,ratio,ratio_min,ratio_max,noise_floor,decision
1,1,1,173.5,160.75,0.94263882041859,0.8864468864468864,1.4942263279445727,0.49422632794457266,calibration
1,1,3,161.75,348.0,1.9478512657320604,1.6666666666666667,2.5078947368421054,0.49422632794457266,slower
1,1,4,163.0,549.5,2.7492182614133833,1.7974683544303798,4.973282442748092,0.49422632794457266,slower
1,1,5,156.5,485.25,2.7876326259946946,2.004201680672269,4.118556701030927,0.49422632794457266,slower
1,1,6,156.5,234.75,1.4415433571996819,1.3196347031963471,1.57356608478803,0.49422632794457266,inconclusive
1,24,1,24.270833333333332,23.979166666666664,0.9887205014749262,0.7042168674698797,1.0136736554238832,0.29578313253012034,calibration
1,24,3,23.895833333333332,84.94791666666667,3.5431534653784844,3.4574376612209803,3.614703277236493,0.29578313253012034,slower
1,24,4,23.833333333333332,97.91666666666667,4.118342182808637,4.023993144815767,4.134380453752182,0.29578313253012034,slower
1,24,5,23.90625,141.10416666666666,5.915423394094077,5.842059336823734,5.947780678851175,0.29578313253012034,slower
1,24,6,23.802083333333332,51.96875,2.194115724092841,2.143594153052451,2.224454148471616,0.29578313253012034,slower
8,1,1,194.75,194.5,0.961365675339109,0.7879377431906615,3.211340206185567,2.211340206185567,calibration
8,1,3,197.25,206.5,1.0469382509798884,0.8593406593406593,1.1365979381443299,2.211340206185567,inconclusive
8,1,4,206.75,202.0,0.9996737493725949,0.975609756097561,1.0238095238095237,2.211340206185567,inconclusive
8,1,5,208.25,219.75,1.03344553278548,0.9344262295081968,3.3078817733990147,2.211340206185567,inconclusive
8,1,6,207.0,154.0,0.7209492481203008,0.6561844863731656,1.6658878504672898,2.211340206185567,inconclusive
8,24,1,96.28125,95.29166666666666,0.9888742962587458,0.9859368238857639,0.9913269731136165,0.05,calibration
8,24,3,94.55208333333334,108.1875,1.1376934237033347,1.1347826086956523,1.1564808596373406,0.05,slower
8,24,4,96.40625,103.8125,1.0830313357717096,1.069330453563715,1.0998311523849724,0.05,slower
8,24,5,95.82291666666667,98.75,1.0305749650027933,1.0207786526684164,1.0423600605143721,0.05,inconclusive
8,24,6,96.94791666666666,50.41666666666667,0.5257399460769876,0.5157691482514483,0.536084799278304,0.05,faster
16,1,1,298.5,291.0,0.9748840509922194,0.97339593114241,0.9902912621359223,0.05,calibration
16,1,3,297.0,318.5,1.0728316819307775,1.0259067357512954,1.103448275862069,0.05,slower
16,1,4,297.5,284.0,0.9392985870324941,0.9114583333333334,1.017915309446254,0.05,inconclusive
16,1,5,303.25,229.0,0.7644999591358597,0.729636048526863,0.800314465408805,0.05,faster
16,1,6,313.75,167.75,0.5475905277024585,0.48302469135802467,0.6025641025641025,0.05,faster
16,24,1,185.5625,182.5625,0.998867830899596,0.9678275290215589,1.020368151617471,0.05,calibration
16,24,3,183.51041666666666,208.04166666666666,1.13506425089717,1.0385382757534392,1.1574063333719984,0.05,slower
16,24,4,183.6875,172.61458333333331,0.9410147325657179,0.9292827570773189,0.9553860379103096,0.05,faster
16,24,5,184.1875,113.36458333333333,0.6152801951898548,0.5976784932106877,0.622751747050063,0.05,faster
16,24,6,183.0625,51.25,0.280994681526966,0.27748035083722516,0.2824332006822058,0.05,faster
64,1,1,873.75,848.75,0.9742987667075612,0.9524874231414198,0.9912075029308324,0.05,calibration
64,1,3,886.75,833.25,0.9185752948073052,0.9087513340448239,0.9724016441573693,0.05,faster
64,1,4,899.75,732.75,0.812701360293824,0.7728516694033936,0.8544018058690744,0.05,faster
64,1,5,897.5,445.75,0.48550086468146525,0.471898197242842,0.5348421679571174,0.05,faster
64,1,6,893.25,229.0,0.2560316752619768,0.25013506212857917,0.2570462232243517,0.05,faster
64,24,1,753.4270833333334,763.65625,1.004086616218423,0.9997542527919615,1.027777777777778,0.05,calibration
64,24,3,744.0208333333333,669.90625,0.8999523786233266,0.8909510869565218,0.9102826946955039,0.05,faster
64,24,4,734.4270833333334,561.65625,0.7622619979145242,0.7538729140620752,0.7657608224795681,0.05,faster
64,24,5,733.84375,309.86458333333337,0.42565390919512547,0.41392714349178145,0.43099063853569936,0.05,faster
64,24,6,735.3125,113.26041666666666,0.15380988204801088,0.15122562674094708,0.1574183847555157,0.05,faster
256,1,1,3179.0,3158.5,0.9952549518721681,0.9907145105445389,1.021729079981507,0.05,calibration
256,1,3,3177.5,2709.25,0.8474196348810485,0.8363273453093812,0.8561287269285376,0.05,faster
256,1,4,3176.25,2277.0,0.7169374248548979,0.7151839044325684,0.7201762669184766,0.05,faster
256,1,5,3168.0,1266.25,0.4004902652193789,0.39498185261164587,0.4186448671592517,0.05,faster
256,1,6,3175.5,502.5,0.15877268268621494,0.1530404877286228,0.16170212765957448,0.05,faster
256,24,1,3091.7708333333335,3037.6875,0.9914998383868948,0.9750803753034579,1.0087185685695603,0.05,calibration
256,24,3,3002.1875,2531.135416666667,0.8455679359713555,0.8394576280523915,0.8582111073107593,0.05,faster
256,24,4,2979.3958333333335,2087.0,0.7005597915504711,0.6999195944764902,0.7009587613726163,0.05,faster
256,24,5,2982.770833333333,1088.9895833333335,0.36521986595249756,0.3642391964429057,0.3655430763962177,0.05,faster
256,24,6,2982.6875,370.09375,0.12414709267925145,0.12397806858450294,0.1398701404326845,0.05,faster
