query_rows,rows,layers,candidate,control_us,candidate_us,ratio,ratio_min,ratio_max,noise_floor,decision
1,1,1,3,368.25,367.0,0.9819714142427282,0.9327731092436975,1.0315789473684212,0.0672268907563025,calibration
1,1,24,3,277.0208333333333,283.1145833333333,0.9866357555979467,0.920908791570629,1.0412103065164287,0.07909120842937101,calibration
1,16,1,3,226.0,236.0,1.0281644924582145,0.9924385633270322,1.0524017467248907,0.05240174672489073,calibration
1,16,24,3,251.76041666666669,261.13541666666663,1.0200681351922887,0.9038924998174247,1.0635847659784485,0.0961075001825753,calibration
1,64,1,3,254.25,268.5,0.9982074896444416,0.953757225433526,2.7732426303854876,1.7732426303854876,calibration
1,64,24,3,277.6875,273.61458333333337,0.9805238113727079,0.9704311188021971,1.0034766835462172,0.05,calibration
1,256,1,3,326.0,339.5,1.003098323623826,0.9960988296488946,1.0779816513761469,0.07798165137614688,calibration
1,256,24,3,298.22916666666663,287.2395833333333,0.9631138566169359,0.9155519524388598,1.1147636363636364,0.1147636363636364,calibration
1,1024,1,3,740.75,741.0,0.9958755503058203,0.9712276214833759,1.0066401062416999,0.05,calibration
1,1024,24,3,759.1458333333334,761.3125,1.00051897248892,0.9914869769427839,1.003646060078363,0.05,calibration
1,4096,1,3,2493.75,2520.75,0.9987890475743308,0.9646165246387551,1.0210252302763316,0.05,calibration
1,4096,24,3,2688.864583333333,2692.541666666667,1.0013581999318273,0.9991087274347766,1.003586559197345,0.05,calibration
16,16,1,3,510.75,500.25,0.9908334611991254,0.4555705908885882,0.9979570990806946,0.5444294091114118,calibration
16,16,24,3,402.02083333333337,402.0520833333333,0.998340676479651,0.9824368276207154,1.0199520334745114,0.05,calibration
64,64,1,3,1606.0,1637.0,0.9917223451326418,0.975517890772128,1.0528103767757875,0.05281037677578748,calibration
64,64,24,3,1488.8854166666665,1487.3333333333333,0.999498370396259,0.99743191837071,1.002787386717745,0.05,calibration
256,256,1,3,6767.5,6773.75,1.0002978406701115,0.9962909090909091,1.001539928136687,0.05,calibration
256,256,24,3,6676.322916666666,6666.489583333334,0.999315418540778,0.9969380513648767,1.0015658036144233,0.05,calibration
1024,1024,1,3,39127.25,39122.75,0.9998309172850512,0.9979101489175323,1.000221432013859,0.05,calibration
1024,1024,24,3,39037.46875,39035.15625,1.000040606089702,0.9997901618893174,1.0002627473004284,0.05,calibration
4096,4096,1,3,355793.0,355789.75,0.9999863806035103,0.998714534431622,1.0002480555203377,0.05,calibration
4096,4096,24,3,355287.8125,348563.5520833334,0.9814247863624231,0.9619265847484294,1.002355398416099,0.05,calibration
4,64,1,3,290.75,298.0,0.9950265127570093,0.9832214765100671,2.7137809187279154,1.7137809187279154,calibration
4,64,24,3,244.39583333333331,242.08333333333334,1.0062727004722465,0.8998419432659513,1.013386173491854,0.10015805673404865,calibration
16,256,1,3,665.25,664.0,1.0041384499623778,0.9705014749262537,1.009009009009009,0.05,calibration
16,256,24,3,589.8958333333333,590.4895833333334,1.0010653327177375,0.9989066412725284,1.0031120698801146,0.05,calibration
64,1024,1,3,3432.0,3464.0,1.0073311746331344,1.0040591475790084,1.0222746717804987,0.05,calibration
64,1024,24,3,3386.875,3385.96875,1.0000151954098855,0.9990220981223052,1.0030111003473872,0.05,calibration
64,4096,1,3,9590.0,9606.5,1.000443497650355,0.9952378460411324,1.002351834430856,0.05,calibration
64,4096,24,3,9597.364583333334,9584.9375,0.9981960967322261,0.9964337986089223,1.0003173844046866,0.05,calibration
