mode,case,family,input_bytes,pieces,max_piece_bytes,output_tokens,candidate,control_us,candidate_us,ratio,ratio_min,ratio_max,noise_floor,decision
bpe,1,prose,64,12,10,12,0,1.94775,1.9375,1.1218905472636815,0.8156606851549755,1.2501730902377104,0.2501730902377104,calibration
bpe,1,prose,64,12,10,12,1,1.708,3.34375,2.0340337720613433,1.6832552693208431,2.232142857142857,0.2501730902377104,slower
bpe,2,prose,256,46,10,46,0,7.655750000000001,7.62475,1.0,0.9854024843848691,1.00519115671186,0.05,calibration
bpe,2,prose,256,46,10,46,1,6.8645,12.250250000000001,1.8778163229745033,1.6733599229817082,1.926653239342061,0.05,slower
bpe,3,prose,4096,737,10,737,0,100.875,99.5,0.9891428456674838,0.933636890140395,1.0118942167631195,0.06636310985960503,calibration
bpe,3,prose,4096,737,10,737,1,99.31275,177.85399999999998,1.7835196653422898,1.767510294553202,1.8067436374922408,0.06636310985960503,slower
bpe,4,prose,16384,2946,10,2947,0,386.8125,385.11474999999996,0.9813108513112729,0.9563411003448181,1.0696624358773084,0.06966243587730836,calibration
bpe,4,prose,16384,2946,10,2947,1,384.844,708.73975,1.829023717488853,1.8175842114065897,1.8573070747696954,0.06966243587730836,slower
bpe,5,multilingual,63,9,11,18,0,1.73975,1.792,1.1072162887704953,0.7844705882352941,1.25,0.25,calibration
bpe,5,multilingual,63,9,11,18,1,1.59375,2.1775,1.2910555555555554,1.219426565242832,1.5276666666666667,0.25,slower
bpe,6,multilingual,254,33,11,71,0,7.02075,6.92725,0.99858405151212,0.9119999999999999,1.1063829787234043,0.1063829787234043,calibration
bpe,6,multilingual,254,33,11,71,1,7.4375,9.104,1.248180354113316,1.2032889899057424,1.251639833035182,0.1063829787234043,slower
bpe,7,multilingual,4096,542,11,1144,0,103.594,104.33324999999999,1.0092838149227172,0.9986043165467626,1.0580413238491713,0.05804132384917127,calibration
bpe,7,multilingual,4096,542,11,1144,1,101.71875,123.125,1.2380969038673768,1.1920331601065177,1.3262864938608458,0.05804132384917127,slower
bpe,8,multilingual,16383,2169,11,4578,0,407.1875,410.86424999999997,0.9956866609745998,0.9608500212736694,1.016446569005397,0.05,calibration
bpe,8,multilingual,16383,2169,11,4578,1,383.84375,498.9585,1.296677370271571,1.2513076330173905,1.34121395036888,0.05,slower
bpe,9,code,64,18,9,18,0,1.32275,1.427,1.1036687743364413,0.7999400119976005,1.280421052631579,0.2804210526315789,calibration
bpe,9,code,64,18,9,18,1,1.47925,2.82275,1.8134501204392204,1.5977751756440282,2.2573529411764706,0.2804210526315789,slower
bpe,10,code,256,71,9,71,0,5.250249999999999,5.91675,1.1226920031008754,1.003891771682728,1.2597562127941038,0.25975621279410377,calibration
bpe,10,code,256,71,9,71,1,6.124750000000001,12.1045,1.9800313390313389,1.9678693093837103,2.011485666262023,0.25975621279410377,slower
bpe,11,code,4096,1125,9,1125,0,79.9375,78.854,1.0042289654591756,0.9581786018969237,1.025727543752417,0.05,calibration
bpe,11,code,4096,1125,9,1125,1,80.917,163.0205,1.9979888835906117,1.7724040519159308,2.242782470463027,0.05,slower
bpe,12,code,16384,4498,9,4498,0,320.00025000000005,329.13525000000004,1.0156504242607436,0.9867409421558566,1.0726113545807143,0.07261135458071433,calibration
bpe,12,code,16384,4498,9,4498,1,316.1355,642.58325,1.9611780824028855,1.8988105480995556,2.1765318414085764,0.07261135458071433,slower
bpe,13,whitespace,64,22,10,22,0,1.22925,1.2085,0.9833931319817957,0.963111111111111,1.0,0.05,calibration
bpe,13,whitespace,64,22,10,22,1,1.1567500000000002,2.3125,1.9650784494693125,1.7791785278568524,2.4404981549815496,0.05,slower
bpe,14,whitespace,256,79,10,79,0,5.4585,5.52075,0.9908446530400764,0.944031521447121,1.275783593669184,0.2757835936691839,calibration
bpe,14,whitespace,256,79,10,79,1,5.3125,11.177,2.05446768010575,1.9764705882352942,2.5022933333333333,0.2757835936691839,slower
bpe,15,whitespace,4096,1247,11,1247,0,83.61475,82.45824999999999,0.9968372748974472,0.9444032616753151,1.0374350253868325,0.055596738324684924,calibration
bpe,15,whitespace,4096,1247,11,1247,1,82.23925,158.16675,1.9578031922693584,1.88381417642179,2.0855863847907083,0.055596738324684924,slower
bpe,16,whitespace,16384,4989,10,4989,0,322.17725,329.89599999999996,1.0054977711119708,0.9166836754268175,1.0854338367318976,0.08543383673189764,calibration
bpe,16,whitespace,16384,4989,10,4989,1,327.59350000000006,634.8225,1.9874494772535396,1.8878826632074257,2.0124928191524893,0.08543383673189764,slower
bpe,17,long_piece,128,1,128,16,0,38.89575,38.78125,0.9970851566270378,0.9951948334849631,1.0005688513266426,0.05,calibration
